,Player,Nation,Pos,Age,Gls,Gls
3,Son Heung-min,kr KOR,"MF,FW",30.0,10.0,0.31
4,Eric Dier,eng ENG,DF,28.0,2.0,0.06
5,Cristian Romero,ar ARG,DF,24.0,0.0,0.0
6,Ben Davies,wls WAL,DF,29.0,2.0,0.08
7,Hugo Lloris,fr FRA,GK,35.0,0.0,0.0
8,Clément Lenglet,fr FRA,DF,27.0,0.0,0.0
9,Ivan Perišić,hr CRO,"DF,MF",33.0,1.0,0.04
10,Dejan Kulusevski,se SWE,"MF,FW",22.0,2.0,0.09
11,Emerson,br BRA,DF,23.0,2.0,0.1
12,Oliver Skipp,eng ENG,MF,21.0,1.0,0.06
13,Rodrigo Bentancur,uy URU,MF,25.0,5.0,0.3
14,Fraser Forster,eng ENG,GK,34.0,0.0,0.0
15,Pedro Porro,es ESP,"DF,MF",22.0,3.0,0.24
16,Richarlison,br BRA,"MF,FW",25.0,1.0,0.09
17,Yves Bissouma,ml MLI,MF,25.0,0.0,0.0
18,Ryan Sessegnon,eng ENG,DF,22.0,2.0,0.22
19,Davinson Sánchez,co COL,DF,26.0,0.0,0.0
20,Matt Doherty,ie IRL,"DF,MF",30.0,1.0,0.13
21,Pape Matar Sarr,sn SEN,"MF,FW",19.0,0.0,0.0
22,Bryan,es ESP,"MF,FW",21.0,0.0,0.0
23,Japhet Tanganga,eng ENG,DF,23.0,0.0,0.0
24,Arnaut Danjuma,nl NED,"FW,MF",25.0,1.0,0.53
25,Lucas Moura,br BRA,"MF,DF",29.0,1.0,0.59
26,Matthew Craig,sct SCO,MF,19.0,0.0,0.0
27,Djed Spence,eng ENG,"FW,DF",21.0,0.0,0.0
1,Kai Havertz,de GER,"FW,MF",23.0,7.0,0.25
2,Kepa Arrizabalaga,es ESP,GK,27.0,0.0,0.0
3,Thiago Silva,br BRA,DF,37.0,0.0,0.0
4,Raheem Sterling,eng ENG,"FW,MF",27.0,6.0,0.29
5,Marc Cucurella,es ESP,DF,24.0,0.0,0.0
6,Kalidou Koulibaly,sn SEN,DF,31.0,2.0,0.1
7,Mason Mount,eng ENG,"MF,FW",23.0,3.0,0.16
8,Ruben Loftus-Cheek,eng ENG,"MF,DF",26.0,0.0,0.0
9,Conor Gallagher,eng ENG,MF,22.0,3.0,0.17
10,Trevoh Chalobah,eng ENG,DF,23.0,0.0,0.0
11,Enzo Fernández,ar ARG,MF,21.0,0.0,0.0
12,Mateo Kovačić,hr CRO,MF,28.0,1.0,0.05
13,César Azpilicueta,es ESP,DF,32.0,0.0,0.0
14,Ben Chilwell,eng ENG,"DF,MF",25.0,2.0,0.13
15,Jorginho,it ITA,MF,30.0,2.0,0.14
16,Reece James,eng ENG,"DF,MF",22.0,1.0,0.07
17,Wesley Fofana,fr FRA,DF,21.0,1.0,0.08
18,João Félix,pt POR,"FW,MF",22.0,4.0,0.38
19,Benoît Badiashile,fr FRA,DF,21.0,1.0,0.1
20,Edouard Mendy,sn SEN,GK,30.0,0.0,0.0
21,Christian Pulisic,us USA,"FW,DF",23.0,1.0,0.11
22,Lewis Hall,eng ENG,DF,17.0,0.0,0.0
23,Mykhailo Mudryk,ua UKR,"FW,MF",21.0,0.0,0.0
24,Noni Madueke,eng ENG,FW,20.0,1.0,0.14
25,Hakim Ziyech,ma MAR,"FW,MF",29.0,0.0,0.0
26,N'Golo Kanté,fr FRA,MF,31.0,0.0,0.0
27,Pierre-Emerick Aubameyang,ga GAB,FW,33.0,1.0,0.16
28,Denis Zakaria,ch SUI,MF,25.0,0.0,0.0
29,Carney Chukwuemeka,eng ENG,"MF,FW",18.0,0.0,0.0
30,Armando Broja,al ALB,FW,20.0,1.0,0.31
