,,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
23,22.0,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",28.0,9,4,335.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.9,2.2,11.0,14.0,28.0,0.27,0.0,0.27,0.27,0.27,0.35,0.23,0.58,0.35,0.58,Matches,Liverpool FC
24,23.0,Naby Keïta,gn GUI,MF,27.0,8,3,293.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,1.4,5.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2,0.22,0.41,0.2,0.41,Matches,Liverpool FC
25,24.0,Caoimhín Kelleher,ie IRL,GK,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool FC
26,25.0,Nathaniel Phillips,eng ENG,DF,25.0,2,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Liverpool FC
1,0.0,Ederson,br BRA,GK,28.0,35,35,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches,Manchester City
2,1.0,Rodri,es ESP,MF,26.0,36,34,2911.0,32.3,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,4.6,4.6,4.1,8.7,76.0,260.0,37.0,0.06,0.19,0.25,0.06,0.25,0.14,0.13,0.27,0.14,0.27,Matches,Manchester City
3,2.0,Erling Haaland,no NOR,FW,22.0,35,33,2769.0,30.8,36.0,8.0,44.0,29.0,7.0,7.0,5.0,0.0,28.4,23.1,5.3,28.4,35.0,58.0,151.0,1.17,0.26,1.43,0.94,1.2,0.92,0.17,1.1,0.75,0.92,Matches,Manchester City
4,3.0,Kevin De Bruyne,be BEL,MF,31.0,32,28,2417.0,26.9,7.0,16.0,23.0,7.0,0.0,0.0,1.0,0.0,5.6,5.6,13.7,19.3,100.0,246.0,245.0,0.26,0.6,0.86,0.26,0.86,0.21,0.51,0.72,0.21,0.72,Matches,Manchester City
5,4.0,İlkay Gündoğan,de GER,MF,31.0,31,27,2353.0,26.1,8.0,4.0,12.0,8.0,0.0,1.0,0.0,0.0,7.5,6.7,3.3,10.0,53.0,170.0,124.0,0.31,0.15,0.46,0.31,0.46,0.29,0.13,0.41,0.26,0.38,Matches,Manchester City
6,5.0,Manuel Akanji,ch SUI,DF,27.0,29,24,2287.0,25.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,0.4,1.7,24.0,116.0,17.0,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.07,0.05,0.07,Matches,Manchester City
7,6.0,Bernardo Silva,pt POR,"MF,FW",27.0,34,24,2205.0,24.5,4.0,5.0,9.0,4.0,0.0,0.0,5.0,0.0,2.2,2.2,3.3,5.4,90.0,130.0,188.0,0.16,0.2,0.37,0.16,0.37,0.09,0.13,0.22,0.09,0.22,Matches,Manchester City
8,7.0,Jack Grealish,eng ENG,FW,26.0,28,23,2055.0,22.8,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,4.6,4.6,7.0,11.7,143.0,100.0,310.0,0.22,0.31,0.53,0.22,0.53,0.2,0.31,0.51,0.2,0.51,Matches,Manchester City
9,8.0,Rúben Dias,pt POR,DF,25.0,26,22,1998.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,0.6,1.9,14.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,Manchester City
10,9.0,Kyle Walker,eng ENG,DF,32.0,27,22,1958.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.2,0.7,50.0,162.0,75.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Manchester City
11,10.0,Riyad Mahrez,dz ALG,"FW,MF",31.0,30,22,1920.0,21.3,5.0,10.0,15.0,4.0,1.0,1.0,2.0,0.0,5.5,4.7,7.0,11.8,78.0,76.0,242.0,0.23,0.47,0.7,0.19,0.66,0.26,0.33,0.59,0.22,0.55,Matches,Manchester City
12,11.0,Nathan Aké,nl NED,DF,27.0,26,22,1873.0,20.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,0.7,2.3,25.0,140.0,30.0,0.05,0.0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,Matches,Manchester City
13,12.0,Phil Foden,eng ENG,FW,22.0,32,22,1842.0,20.5,11.0,6.0,17.0,11.0,0.0,0.0,1.0,0.0,5.9,5.9,4.7,10.6,68.0,88.0,275.0,0.54,0.29,0.83,0.54,0.83,0.29,0.23,0.52,0.29,0.52,Matches,Manchester City
14,13.0,John Stones,eng ENG,"DF,MF",28.0,23,21,1846.0,20.5,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.4,2.4,28.0,101.0,34.0,0.1,0.1,0.2,0.1,0.2,0.05,0.07,0.12,0.05,0.12,Matches,Manchester City
15,14.0,João Cancelo,pt POR,DF,28.0,17,16,1274.0,14.2,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.8,0.8,0.9,1.7,72.0,106.0,125.0,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12,Matches,Manchester City
16,15.0,Julián Álvarez,ar ARG,"FW,MF",22.0,31,13,1465.0,16.3,9.0,0.0,9.0,8.0,1.0,1.0,0.0,0.0,7.0,6.2,1.8,8.0,38.0,37.0,99.0,0.55,0.0,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49,Matches,Manchester City
17,16.0,Aymeric Laporte,es ESP,DF,28.0,12,11,993.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,30.0,85.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,Manchester City
18,17.0,Rico Lewis,eng ENG,"DF,MF",17.0,14,10,903.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.5,1.7,22.0,48.0,26.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.17,0.02,0.17,Matches,Manchester City
