,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
0,Kai Havertz,de GER,"FW,MF",23.0,35,30,2569.0,28.5,7.0,1.0,8.0,6.0,1.0,1.0,5.0,0.0,11.6,10.8,3.7,14.6,59.0,89.0,218.0,0.25,0.04,0.28,0.21,0.25,0.41,0.13,0.54,0.38,0.51,Matches,Chelsea FC
1,Kepa Arrizabalaga,es ESP,GK,27.0,29,29,2565.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea FC
2,Thiago Silva,br BRA,DF,37.0,27,26,2352.0,26.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.5,1.5,0.5,2.0,8.0,104.0,2.0,0.0,0.08,0.08,0.0,0.08,0.06,0.02,0.08,0.06,0.08,Matches,Chelsea FC
3,Raheem Sterling,eng ENG,"FW,MF",27.0,28,23,1891.0,21.0,6.0,3.0,9.0,6.0,0.0,0.0,4.0,0.0,6.2,6.2,4.6,10.8,81.0,59.0,186.0,0.29,0.14,0.43,0.29,0.43,0.29,0.22,0.51,0.29,0.51,Matches,Chelsea FC
4,Marc Cucurella,es ESP,DF,24.0,24,21,1671.0,18.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.6,1.0,30.0,73.0,65.0,0.0,0.11,0.11,0.0,0.11,0.02,0.03,0.06,0.02,0.06,Matches,Chelsea FC
5,Kalidou Koulibaly,sn SEN,DF,31.0,23,20,1800.0,20.0,2.0,1.0,3.0,2.0,0.0,0.0,7.0,1.0,0.9,0.9,0.4,1.4,10.0,81.0,4.0,0.1,0.05,0.15,0.1,0.15,0.05,0.02,0.07,0.05,0.07,Matches,Chelsea FC
6,Mason Mount,eng ENG,"MF,FW",23.0,24,20,1648.0,18.3,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,2.0,2.0,3.0,5.0,48.0,98.0,114.0,0.16,0.11,0.27,0.16,0.27,0.11,0.16,0.27,0.11,0.27,Matches,Chelsea FC
7,Ruben Loftus-Cheek,eng ENG,"MF,DF",26.0,25,19,1536.0,17.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.5,2.4,56.0,90.0,86.0,0.0,0.06,0.06,0.0,0.06,0.05,0.09,0.14,0.05,0.14,Matches,Chelsea FC
8,Conor Gallagher,eng ENG,MF,22.0,35,18,1621.0,18.0,3.0,1.0,4.0,3.0,0.0,0.0,11.0,1.0,2.5,2.5,2.3,4.7,40.0,105.0,104.0,0.17,0.06,0.22,0.17,0.22,0.14,0.13,0.26,0.14,0.26,Matches,Chelsea FC
9,Trevoh Chalobah,eng ENG,DF,23.0,25,18,1608.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.2,17.0,71.0,27.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06,Matches,Chelsea FC
10,Enzo Fernández,ar ARG,MF,21.0,18,18,1547.0,17.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,2.4,3.2,22.0,168.0,18.0,0.0,0.12,0.12,0.0,0.12,0.05,0.14,0.19,0.05,0.19,Matches,Chelsea FC
11,Mateo Kovačić,hr CRO,MF,28.0,27,17,1707.0,19.0,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,1.8,1.8,2.1,3.9,37.0,153.0,30.0,0.05,0.11,0.16,0.05,0.16,0.09,0.11,0.2,0.09,0.2,Matches,Chelsea FC
12,César Azpilicueta,es ESP,DF,32.0,25,16,1527.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.1,1.5,23.0,71.0,81.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches,Chelsea FC
13,Ben Chilwell,eng ENG,"DF,MF",25.0,23,15,1408.0,15.6,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,2.2,3.7,43.0,41.0,131.0,0.13,0.13,0.26,0.13,0.26,0.09,0.14,0.23,0.09,0.23,Matches,Chelsea FC
14,Jorginho,it ITA,MF,30.0,18,15,1279.0,14.2,2.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,1.7,0.1,0.4,0.5,13.0,80.0,10.0,0.14,0.0,0.14,0.0,0.0,0.12,0.03,0.14,0.01,0.03,Matches,Chelsea FC
15,Reece James,eng ENG,"DF,MF",22.0,16,14,1244.0,13.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,4.0,52.0,90.0,115.0,0.07,0.07,0.14,0.07,0.14,0.07,0.22,0.29,0.07,0.29,Matches,Chelsea FC
16,Wesley Fofana,fr FRA,DF,21.0,15,12,1183.0,13.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.1,0.8,29.0,43.0,12.0,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.06,0.05,0.06,Matches,Chelsea FC
17,João Félix,pt POR,"FW,MF",22.0,16,11,941.0,10.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.9,4.9,0.5,5.4,34.0,47.0,79.0,0.38,0.0,0.38,0.38,0.38,0.47,0.05,0.52,0.47,0.52,Matches,Chelsea FC
18,Benoît Badiashile,fr FRA,DF,21.0,11,10,905.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.5,1.6,11.0,56.0,2.0,0.1,0.0,0.1,0.1,0.1,0.12,0.05,0.16,0.12,0.16,Matches,Chelsea FC
19,Edouard Mendy,sn SEN,GK,30.0,10,9,855.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea FC
20,Christian Pulisic,us USA,"FW,DF",23.0,24,8,821.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.7,2.4,35.0,23.0,76.0,0.11,0.11,0.22,0.11,0.22,0.19,0.07,0.26,0.19,0.26,Matches,Chelsea FC
21,Lewis Hall,eng ENG,DF,17.0,9,8,654.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,2.3,3.1,19.0,25.0,41.0,0.0,0.0,0.0,0.0,0.0,0.12,0.31,0.43,0.12,0.43,Matches,Chelsea FC
22,Mykhailo Mudryk,ua UKR,"FW,MF",21.0,15,7,657.0,7.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.9,1.9,0.9,2.8,25.0,20.0,43.0,0.0,0.27,0.27,0.0,0.27,0.25,0.13,0.38,0.25,0.38,Matches,Chelsea FC
