,Player,Nation,Pos,Team,Age,MP,Starts,Min,Gls,Ast,PK,xG,xAG,GA,StartPercentage,MPG,MPA,MinPerct
73,Gabriel Dos Santos,BRA,DF,Arsenal FC,24.0,38,38,3409.0,3.0,0.0,0.0,5.1,0.3,3.0,100.0,1136.33,0.0,99.68
74,Bukayo Saka,ENG,FW,Arsenal FC,20.0,38,37,3181.0,14.0,11.0,2.0,11.2,8.5,25.0,97.37,227.21,289.18,93.01
75,Martin Ødegaard,NOR,MF,Arsenal FC,23.0,37,37,3127.0,15.0,7.0,0.0,10.0,8.1,22.0,97.37,208.47,446.71,91.43
76,Ben White,ENG,DF,Arsenal FC,24.0,38,36,3055.0,2.0,5.0,0.0,1.3,3.2,7.0,94.74,1527.5,611.0,89.33
77,Granit Xhaka,SUI,MF,Arsenal FC,29.0,37,36,2993.0,7.0,7.0,0.0,4.7,5.2,14.0,94.74,427.57,427.57,87.51
78,Martinelli,BRA,FW,Arsenal FC,21.0,36,34,2789.0,15.0,5.0,0.0,9.3,9.1,20.0,89.47,185.93,557.8,81.55
79,Thomas Partey,GHA,MF,Arsenal FC,29.0,33,28,2483.0,3.0,0.0,0.0,2.2,1.5,3.0,73.68,827.67,0.0,72.6
80,William Saliba,FRA,DF,Arsenal FC,21.0,27,27,2415.0,2.0,1.0,0.0,0.9,1.2,3.0,71.05,1207.5,2415.0,70.61
81,Oleksandr Zinchenko,UKR,DF,Arsenal FC,25.0,27,26,2118.0,1.0,2.0,0.0,1.4,1.4,3.0,68.42,2118.0,1059.0,61.93
82,Gabriel Jesus,BRA,FW,Arsenal FC,25.0,26,24,2064.0,11.0,6.0,1.0,14.0,3.9,17.0,63.16,187.64,344.0,60.35
83,Leandro Trossard,BEL,FW,Arsenal FC,27.0,20,10,931.0,1.0,10.0,0.0,1.8,4.7,11.0,26.32,931.0,93.1,27.22
84,Eddie Nketiah,ENG,FW,Arsenal FC,23.0,30,9,1089.0,4.0,1.0,0.0,8.2,1.3,5.0,23.68,272.25,1089.0,31.84
85,Jorginho,ITA,MF,Arsenal FC,30.0,14,9,855.0,0.0,1.0,0.0,0.2,0.2,1.0,23.68,0.0,855.0,25.0
86,Kieran Tierney,SCO,DF,Arsenal FC,25.0,27,6,795.0,0.0,1.0,0.0,0.3,0.3,1.0,15.79,0.0,795.0,23.25
87,Takehiro Tomiyasu,JPN,DF,Arsenal FC,23.0,21,6,663.0,0.0,1.0,0.0,0.2,0.6,1.0,15.79,0.0,663.0,19.39
88,Rob Holding,ENG,DF,Arsenal FC,26.0,14,6,566.0,1.0,0.0,0.0,0.3,0.0,1.0,15.79,566.0,0.0,16.55
89,Jakub Kiwior,POL,DF,Arsenal FC,22.0,7,5,427.0,1.0,0.0,0.0,0.1,0.0,1.0,13.16,427.0,0.0,12.49
90,Fabio Vieira,POR,MF,Arsenal FC,22.0,22,3,514.0,1.0,2.0,0.0,0.8,2.5,3.0,7.89,514.0,257.0,15.03
91,Albert Sambi Lokonga,BEL,MF,Arsenal FC,22.0,6,2,198.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.79
92,Mohamed Elneny,EGY,MF,Arsenal FC,30.0,5,1,113.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,3.3
93,Reiss Nelson,ENG,FW,Arsenal FC,22.0,11,0,212.0,3.0,2.0,0.0,1.1,1.4,5.0,0.0,70.67,106.0,6.2
94,Emile Smith Rowe,ENG,MF,Arsenal FC,22.0,12,0,172.0,0.0,2.0,0.0,0.3,0.7,2.0,0.0,0.0,86.0,5.03
95,Cédric Soares,POR,DF,Arsenal FC,30.0,2,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
96,Harry Kane,ENG,FW,Tottenham Hotspur,29.0,38,38,3405.0,30.0,3.0,5.0,21.5,7.0,33.0,100.0,113.5,1135.0,99.56
97,Pierre Højbjerg,DEN,MF,Tottenham Hotspur,26.0,35,35,3131.0,4.0,5.0,0.0,2.0,3.1,9.0,92.11,782.75,626.2,91.55
98,Son Heung-min,KOR,FW,Tottenham Hotspur,30.0,36,33,2888.0,10.0,6.0,0.0,10.1,6.5,16.0,86.84,288.8,481.33,84.44
99,Eric Dier,ENG,DF,Tottenham Hotspur,28.0,33,31,2818.0,2.0,1.0,0.0,1.6,1.2,3.0,81.58,1409.0,2818.0,82.4
100,Cristian Romero,ARG,DF,Tottenham Hotspur,24.0,27,26,2364.0,0.0,1.0,0.0,1.5,1.2,1.0,68.42,0.0,2364.0,69.12
101,Ben Davies,WAL,DF,Tottenham Hotspur,29.0,31,26,2288.0,2.0,2.0,0.0,1.0,2.5,4.0,68.42,1144.0,1144.0,66.9
102,Hugo Lloris,FRA,GK,Tottenham Hotspur,35.0,25,25,2205.0,0.0,0.0,0.0,0.0,0.0,0.0,65.79,0.0,0.0,64.47
103,Clément Lenglet,FRA,DF,Tottenham Hotspur,27.0,26,24,2019.0,0.0,2.0,0.0,1.0,0.6,2.0,63.16,0.0,1009.5,59.04
104,Ivan Perišić,CRO,DF,Tottenham Hotspur,33.0,34,23,2108.0,1.0,8.0,0.0,2.6,6.1,9.0,60.53,2108.0,263.5,61.64
105,Dejan Kulusevski,SWE,MF,Tottenham Hotspur,22.0,30,23,2067.0,2.0,7.0,0.0,2.6,4.7,9.0,60.53,1033.5,295.29,60.44
106,Emerson,BRA,DF,Tottenham Hotspur,23.0,26,20,1735.0,2.0,1.0,0.0,1.7,0.6,3.0,52.63,867.5,1735.0,50.73
107,Oliver Skipp,ENG,MF,Tottenham Hotspur,21.0,23,18,1491.0,1.0,0.0,0.0,0.3,0.6,1.0,47.37,1491.0,0.0,43.6
108,Rodrigo Bentancur,URU,MF,Tottenham Hotspur,25.0,18,17,1500.0,5.0,2.0,0.0,2.2,0.8,7.0,44.74,300.0,750.0,43.86
109,Fraser Forster,ENG,GK,Tottenham Hotspur,34.0,14,13,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,34.21,0.0,0.0,35.53
110,Pedro Porro,ESP,DF,Tottenham Hotspur,22.0,15,13,1131.0,3.0,3.0,0.0,1.8,3.0,6.0,34.21,377.0,377.0,33.07
111,Richarlison,BRA,FW,Tottenham Hotspur,25.0,27,12,1010.0,1.0,3.0,0.0,3.3,2.2,4.0,31.58,1010.0,336.67,29.53
112,Yves Bissouma,MLI,MF,Tottenham Hotspur,25.0,23,10,1010.0,0.0,0.0,0.0,0.2,0.5,0.0,26.32,0.0,0.0,29.53
113,Ryan Sessegnon,ENG,DF,Tottenham Hotspur,22.0,17,9,813.0,2.0,0.0,0.0,1.6,1.1,2.0,23.68,406.5,0.0,23.77
114,Davinson Sánchez,COL,DF,Tottenham Hotspur,26.0,18,8,858.0,0.0,0.0,0.0,0.6,0.4,0.0,21.05,0.0,0.0,25.09
115,Matt Doherty,IRL,DF,Tottenham Hotspur,30.0,12,7,667.0,1.0,0.0,0.0,0.8,0.3,1.0,18.42,667.0,0.0,19.5
116,Pape Matar Sarr,SEN,MF,Tottenham Hotspur,19.0,11,2,218.0,0.0,1.0,0.0,0.1,0.3,1.0,5.26,0.0,218.0,6.37
117,Bryan,ESP,MF,Tottenham Hotspur,21.0,4,2,148.0,0.0,1.0,0.0,0.1,0.2,1.0,5.26,0.0,148.0,4.33
118,Japhet Tanganga,ENG,DF,Tottenham Hotspur,23.0,4,2,146.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,4.27
119,Arnaut Danjuma,NED,FW,Tottenham Hotspur,25.0,9,1,169.0,1.0,0.0,0.0,0.8,0.0,1.0,2.63,169.0,0.0,4.94
120,Lucas Moura,BRA,MF,Tottenham Hotspur,29.0,15,0,153.0,1.0,0.0,0.0,0.5,0.3,1.0,0.0,153.0,0.0,4.47
121,Matthew Craig,SCO,MF,Tottenham Hotspur,19.0,1,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
122,Djed Spence,ENG,FW,Tottenham Hotspur,21.0,4,0,7.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
123,Kai Havertz,GER,FW,Chelsea FC,23.0,35,30,2569.0,7.0,1.0,1.0,11.6,3.7,8.0,78.95,367.0,2569.0,75.12
124,Kepa Arrizabalaga,ESP,GK,Chelsea FC,27.0,29,29,2565.0,0.0,0.0,0.0,0.0,0.0,0.0,76.32,0.0,0.0,75.0
125,Thiago Silva,BRA,DF,Chelsea FC,37.0,27,26,2352.0,0.0,2.0,0.0,1.5,0.5,2.0,68.42,0.0,1176.0,68.77
126,Raheem Sterling,ENG,FW,Chelsea FC,27.0,28,23,1891.0,6.0,3.0,0.0,6.2,4.6,9.0,60.53,315.17,630.33,55.29
127,Marc Cucurella,ESP,DF,Chelsea FC,24.0,24,21,1671.0,0.0,2.0,0.0,0.4,0.6,2.0,55.26,0.0,835.5,48.86
128,Kalidou Koulibaly,SEN,DF,Chelsea FC,31.0,23,20,1800.0,2.0,1.0,0.0,0.9,0.4,3.0,52.63,900.0,1800.0,52.63
129,Mason Mount,ENG,MF,Chelsea FC,23.0,24,20,1648.0,3.0,2.0,0.0,2.0,3.0,5.0,52.63,549.33,824.0,48.19
130,Ruben Loftus-Cheek,ENG,MF,Chelsea FC,26.0,25,19,1536.0,0.0,1.0,0.0,0.8,1.5,1.0,50.0,0.0,1536.0,44.91
131,Conor Gallagher,ENG,MF,Chelsea FC,22.0,35,18,1621.0,3.0,1.0,0.0,2.5,2.3,4.0,47.37,540.33,1621.0,47.4
132,Trevoh Chalobah,ENG,DF,Chelsea FC,23.0,25,18,1608.0,0.0,0.0,0.0,0.9,0.3,0.0,47.37,0.0,0.0,47.02
133,Enzo Fernández,ARG,MF,Chelsea FC,21.0,18,18,1547.0,0.0,2.0,0.0,0.8,2.4,2.0,47.37,0.0,773.5,45.23
134,Mateo Kovačić,CRO,MF,Chelsea FC,28.0,27,17,1707.0,1.0,2.0,0.0,1.8,2.1,3.0,44.74,1707.0,853.5,49.91
135,César Azpilicueta,ESP,DF,Chelsea FC,32.0,25,16,1527.0,0.0,0.0,0.0,0.4,1.1,0.0,42.11,0.0,0.0,44.65
136,Ben Chilwell,ENG,DF,Chelsea FC,25.0,23,15,1408.0,2.0,2.0,0.0,1.4,2.2,4.0,39.47,704.0,704.0,41.17
137,Jorginho,ITA,MF,Chelsea FC,30.0,18,15,1279.0,2.0,0.0,2.0,1.7,0.4,2.0,39.47,639.5,0.0,37.4
138,Reece James,ENG,DF,Chelsea FC,22.0,16,14,1244.0,1.0,1.0,0.0,1.0,3.0,2.0,36.84,1244.0,1244.0,36.37
139,Wesley Fofana,FRA,DF,Chelsea FC,21.0,15,12,1183.0,1.0,0.0,0.0,0.7,0.1,1.0,31.58,1183.0,0.0,34.59
140,João Félix,POR,FW,Chelsea FC,22.0,16,11,941.0,4.0,0.0,0.0,4.9,0.5,4.0,28.95,235.25,0.0,27.51
141,Benoît Badiashile,FRA,DF,Chelsea FC,21.0,11,10,905.0,1.0,0.0,0.0,1.2,0.5,1.0,26.32,905.0,0.0,26.46
142,Edouard Mendy,SEN,GK,Chelsea FC,30.0,10,9,855.0,0.0,0.0,0.0,0.0,0.0,0.0,23.68,0.0,0.0,25.0
143,Christian Pulisic,USA,FW,Chelsea FC,23.0,24,8,821.0,1.0,1.0,0.0,1.7,0.7,2.0,21.05,821.0,821.0,24.01
144,Lewis Hall,ENG,DF,Chelsea FC,17.0,9,8,654.0,0.0,0.0,0.0,0.9,2.3,0.0,21.05,0.0,0.0,19.12
145,Mykhailo Mudryk,UKR,FW,Chelsea FC,21.0,15,7,657.0,0.0,2.0,0.0,1.9,0.9,2.0,18.42,0.0,328.5,19.21
146,Noni Madueke,ENG,FW,Chelsea FC,20.0,12,7,643.0,1.0,0.0,0.0,0.9,0.5,1.0,18.42,643.0,0.0,18.8
147,Hakim Ziyech,MAR,FW,Chelsea FC,29.0,18,6,661.0,0.0,3.0,0.0,0.6,2.2,3.0,15.79,0.0,220.33,19.33
148,N'Golo Kanté,FRA,MF,Chelsea FC,31.0,7,6,518.0,0.0,1.0,0.0,0.3,1.9,1.0,15.79,0.0,518.0,15.15
149,Pierre-Emerick Aubameyang,GAB,FW,Chelsea FC,33.0,15,5,554.0,1.0,0.0,0.0,1.5,0.4,1.0,13.16,554.0,0.0,16.2
150,Denis Zakaria,SUI,MF,Chelsea FC,25.0,7,5,411.0,0.0,0.0,0.0,0.2,0.0,0.0,13.16,0.0,0.0,12.02
151,Carney Chukwuemeka,ENG,MF,Chelsea FC,18.0,14,2,354.0,0.0,0.0,0.0,0.4,0.6,0.0,5.26,0.0,0.0,10.35
152,Armando Broja,ALB,FW,Chelsea FC,20.0,12,2,294.0,1.0,0.0,0.0,0.8,0.1,1.0,5.26,294.0,0.0,8.6
